['303', '16', '390', '104', '248', '308', '164', '39', '195', '33', '237', '359', '136', '142', '324', '276', '106', '148', '70', '245']
['314', '353', '28', '366', '133', '393', '181', '326', '76', '35', '65', '370', '264', '262', '325', '190', '86', '168', '292', '46']
['221', '10', '6', '170', '117', '15', '241', '207', '19', '160', '138', '165', '185', '217', '222', '30', '108', '147', '386', '120']
['162', '339', '91', '110', '315', '294', '114', '384', '321', '238', '209', '223', '394', '130', '396', '397', '191', '309', '274', '126']
['192', '379', '220', '27', '329', '124', '157', '97', '371', '57', '399', '213', '14', '287', '323', '225', '171', '233', '376', '280']
['367', '166', '305', '364', '31', '174', '193', '134', '42', '198', '260', '372', '293', '113', '49', '94', '54', '85', '75', '351']
['167', '20', '88', '80', '47', '269', '337', '332', '236', '26', '288', '135', '13', '51', '197', '161', '169', '304', '352', '149']
['327', '151', '99', '289', '78', '158', '25', '391', '215', '282', '279', '22', '132', '250', '291', '259', '34', '40', '297', '179']
['347', '8', '12', '234', '127', '224', '112', '45', '345', '388', '103', '178', '204', '196', '368', '281', '266', '175', '333', '296']
['156', '177', '52', '137', '118', '180', '267', '73', '129', '346', '55', '202', '242', '255', '0', '131', '356', '235', '286', '72']
['230', '121', '247', '369', '71', '200', '32', '152', '208', '265', '389', '251', '92', '387', '330', '203', '77', '365', '219', '214']
['375', '249', '69', '378', '173', '29', '201', '381', '44', '212', '295', '273', '62', '312', '240', '254', '3', '334', '150', '163']
['290', '96', '382', '107', '302', '348', '216', '350', '59', '139', '310', '392', '362', '243', '298', '194', '83', '90', '341', '271']
['354', '64', '283', '48', '311', '316', '349', '125', '206', '253', '270', '239', '377', '119', '398', '340', '226', '155', '317', '115']
['277', '205', '36', '95', '275', '338', '187', '93', '261', '101', '154', '182', '361', '328', '252', '87', '100', '141', '358', '211']
['227', '17', '268', '58', '322', '210', '285', '102', '383', '184', '331', '189', '61', '188', '1', '263', '11', '335', '53', '60']
['355', '313', '74', '143', '159', '373', '344', '116', '301', '68', '306', '89', '105', '186', '9', '84', '63', '278', '5', '374']
['284', '343', '246', '380', '144', '228', '98', '4', '153', '21', '257', '128', '23', '18', '385', '229', '140', '123', '218', '318']
['320', '43', '50', '2', '109', '145', '300', '67', '258', '244', '79', '395', '82', '183', '56', '336', '41', '146', '232', '360']
['363', '24', '299', '199', '342', '307', '38', '111', '256', '176', '66', '272', '81', '319', '122', '37', '357', '231', '7', '172']
