['197', '320', '121']
['552', '730', '50']
['718', '531', '31']
['763', '178', '386']
['37', '479', '843']
['363', '989', '439']
['711', '825', '293']
['367', '734', '884']
['373', '328', '646']
['962', '714', '959']
['297', '577', '880']
['82']
['895', '771', '370']
['462', '480', '695']
